time,strategy_return
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-09,-0.00011145697249634128
2023-01-10,-0.008699692732053885
2023-01-11,0.00974727574257657
2023-01-12,-0.0019495684402138227
2023-01-13,0.007306986439065973
2023-01-16,0.0019618311229973417
2023-01-17,-0.001293695173286358
2023-01-18,0.0014915431898955504
2023-01-19,0.001049913963960184
2023-01-20,0.0072364261639806604
2023-01-30,0.0023764955320835224
2023-01-31,-0.003664789331229815
2023-02-01,0.01086244860138059
2023-02-02,-0.0035033277299943424
2023-02-03,-0.00854599191249558
2023-02-06,-0.00548779384753156
2023-02-07,0.0031524808529746705
2023-02-08,-0.002121308237058136
2023-02-09,0.00906030181790699
2023-02-10,0.0013710390346721095
2023-02-13,0.005331935147170504
2023-02-14,0.004323558461467229
2023-02-15,-0.0059141385901588205
2023-02-16,-0.00856486891910252
2023-02-17,-0.0037423397920787974
2023-02-20,0.02314417781291222
2023-02-21,0.009312131470221648
2023-02-22,-0.0024120886364995056
2023-02-23,0.001051535242814498
2023-02-24,-0.005482492981438703
2023-02-27,-0.002656516119659787
2023-02-28,0.008236801050033542
2023-03-01,0.009579823479158665
2023-03-02,0.003845471263877535
2023-03-03,0.009571802225978946
2023-03-06,-0.004610307479213838
2023-03-07,-0.005265945457087932
2023-03-08,-0.0030218194540329
2023-03-09,-0.003311506582674913
2023-03-10,-0.014849744028529496
2023-03-13,0.012527327071231135
2023-03-14,-0.005085321869368398
2023-03-15,0.00585688180445307
2023-03-16,-0.008806518328535773
2023-03-17,0.010160613991426226
2023-03-20,-0.00607976535637124
2023-03-21,-0.0005875890893409303
2023-03-22,0.003373399970618559
2023-03-23,0.0043958307768126
2023-03-24,-0.004472795410526265
2023-03-27,-0.003136919182734843
2023-03-28,0.0022092125939501567
2023-03-29,-0.0019156056239227224
2023-03-30,0.006439827773224938
2023-03-31,-0.002105717085436195
2023-04-03,0.004651828070822191
2023-04-04,0.002926828218695384
2023-04-06,0.0008979127815675078
2023-04-07,0.0019714304361715877
2023-04-10,0.003024054093074299
2023-04-11,0.0009450391757645022
2023-04-12,0.0011177481728380846
2023-04-13,0.0033690068296119346
2023-04-14,0.0037551448340889565
2023-04-17,0.020090770274652146
2023-04-18,0.003942961695897402
2023-04-19,-0.005448321124671263
2023-04-20,-0.003185038811229013
2023-04-21,-0.013566226505488652
2023-04-24,-0.004811348232577676
2023-04-25,0.0049014082760099435
2023-04-26,-0.004619935905618162
2023-04-27,0.011336785150489935
2023-04-28,0.005600522282656898
2023-05-04,0.02180907615381555
2023-05-05,0.003067102891787273
2023-05-08,0.02406267049832227
2023-05-09,-0.005027501239192526
2023-05-10,-0.014781238572232014
2023-05-11,0.00027392577063315425
2023-05-12,-0.005967120678413489
2023-05-15,0.011355077697532578
2023-05-16,-0.0038848566793634794
2023-05-17,-0.005747241821967534
2023-05-18,-0.004262478817634644
2023-05-19,0.00247575874767881
2023-05-22,0.009040426535104396
2023-05-23,-0.010674851151324175
2023-05-24,-0.012868643133203472
2023-05-25,-0.004553101200597309
2023-05-26,-0.005482521378791959
2023-05-29,-0.0008514745168755865
2023-05-30,-0.004747665009875987
2023-05-31,-0.005413340212472917
2023-06-01,-0.003157374708011044
2023-06-02,0.014281896493764663
2023-06-05,-0.0032263256077377637
2023-06-06,-0.009193301329680777
2023-06-07,-0.0028973069675294416
2023-06-08,0.010212345339190337
2023-06-09,0.00406070308300623
2023-06-12,0.0019666869709660468
2023-06-13,-0.0012216173221313855
2023-06-14,0.000932334930617203
2023-06-15,0.0057219246274230655
2023-06-16,0.0013025815024049758
2023-06-19,-0.008443110632249947
2023-06-20,-0.007026361590545504
2023-06-21,-0.005361789979643202
2023-06-26,-0.011641986511486154
2023-06-27,0.013281703069796213
2023-06-28,0.006959548377248832
2023-06-29,-0.006445676271800711
2023-06-30,0.004712979545355592
2023-07-03,0.015328988094378724
2023-07-04,-0.0042273121542881955
2023-07-05,-0.0017165510544805305
2023-07-06,-0.0030259032222632706
2023-07-07,0.0021192269807603806
2023-07-10,0.00099840805893463
2023-07-11,0.007059287834310586
2023-07-12,-0.003892355703703361
2023-07-13,0.011610802366473265
2023-07-14,0.0008632882337725669
2023-07-17,-0.0031810882649498306
2023-07-18,0.0013748642448575652
2023-07-19,0.006001722370027655
2023-07-20,-0.005557260251093613
2023-07-21,0.0012861526171245438
2023-07-24,-0.0012639914979400164
2023-07-25,0.019951492758153683
2023-07-26,0.00020504002347816828
2023-07-27,-0.001409514517491495
2023-07-28,0.025329523044461358
2023-07-31,0.006461256732424048
2023-08-01,0.0006945592416350177
2023-08-02,-0.010163741802940395
2023-08-03,0.00818641114817823
2023-08-04,0.001046854521402459
2023-08-07,-0.003695151491835606
2023-08-08,0.0005640372394054722
2023-08-09,-0.0014601053545571063
2023-08-10,0.002071315741878336
2023-08-11,-0.01774457594637212
2023-08-14,-0.0046430627424524605
2023-08-15,0.004176222064116586
2023-08-16,-0.003500672503309636
2023-08-17,0.0006688501716604734
2023-08-18,-0.004537104740997533
2023-08-21,-0.0125157486647278
2023-08-22,0.00488033671957447
2023-08-23,-0.0075720375541941266
2023-08-24,-0.006330758455132031
2023-08-25,0.0003175117375079176
2023-08-28,0.010006272499801162
2023-08-29,-0.010680411488452625
2023-08-30,-0.0033504907729935414
2023-08-31,-0.007512081921278084
2023-09-01,0.008013675555957441
2023-09-04,0.012209894099721378
2023-09-05,-0.003380311172611117
2023-09-06,-0.0013811339248684861
2023-09-07,-0.005606897605784658
2023-09-08,-0.003991701054881795
2023-09-11,0.005402830296036073
2023-09-12,0.00012244007357848545
2023-09-13,0.002433290720684585
2023-09-14,0.009906654110293324
2023-09-15,-0.0068544313242246855
2023-09-18,0.0014151210178293238
2023-09-19,0.004421309596391754
2023-09-20,0.000405188192066271
2023-09-21,-0.006757450177660233
2023-09-22,0.0067278654606989785
2023-09-25,0.0010666736608920294
2023-09-26,-0.003185044130427358
2023-09-27,-0.004733822292964418
2023-09-28,-0.003053033689975126
2023-10-09,-0.004318978451658406
2023-10-10,-0.004366060041537597
2023-10-11,-0.0003728409494402119
2023-10-12,0.01683464506021793
2023-10-13,-0.002072188338457811
2023-10-16,-0.002650434678429518
2023-10-17,0.0014983015490599477
2023-10-18,-0.004211662076596966
2023-10-19,-0.021223901361057958
2023-10-20,-0.006974134877297889
2023-10-23,-0.00760062779973969
2023-10-24,-0.0010528948148102527
2023-10-25,0.004479801246933213
2023-10-26,0.0035672629539995762
2023-10-27,0.006231994890541074
2023-10-30,-0.0069837640005013515
2023-10-31,0.0033919047624506736
2023-11-01,0.002835469781844246
2023-11-02,7.138915377940733e-05
2023-11-03,-0.00018121128463179938
2023-11-06,0.006822800346402997
2023-11-07,-0.00014003895829548148
2023-11-08,-0.006057637054315971
2023-11-09,0.0043789905337217275
2023-11-10,-0.0034479081962898654
2023-11-13,-0.003069617995579573
2023-11-14,0.00040231312882100395
2023-11-15,0.0043109570375406935
2023-11-16,-0.0051527871258349196
2023-11-17,1.3189988458291602e-05
2023-11-20,0.003398577823044039
2023-11-21,0.002379236885326352
2023-11-22,-0.003712788323052496
2023-11-23,0.0018277958929529955
2023-11-24,-0.0007123928624562458
2023-11-27,-0.006161749196758743
2023-11-28,-0.0010997815736208797
2023-11-29,-0.006174186501653714
2023-11-30,0.005160059438820209
2023-12-01,0.0010470857787489387
2023-12-04,0.001230842087655548
2023-12-05,-0.011420707394092592
2023-12-06,-0.007283599593162608
2023-12-07,-0.00037501575427224907
2023-12-08,-0.0021694184188819038
2023-12-11,0.004038464844152738
2023-12-12,0.004522688987867858
2023-12-13,-0.008125804176364985
2023-12-14,-0.0028582348701262747
2023-12-15,-0.0064589253717422706
2023-12-18,0.0020752894800172544
2023-12-19,5.087842227158431e-06
2023-12-20,-0.006535893797350612
2023-12-21,0.00130757464746644
2023-12-22,0.007748344909483576
2023-12-25,0.004836101520102091
2023-12-26,-0.0017909220822457015
2023-12-27,0.007919602385605958
2023-12-28,0.0009019087271086724
2023-12-29,0.003213588636752518
2024-01-02,0.0037194394966326666
2024-01-03,0.008660097221315688
2024-01-04,0.00334981077442141
2024-01-05,0.004620546235727981
2024-01-08,-0.00934006011772693
2024-01-09,0.0021416513408171376
2024-01-10,-0.0037627958113598758
2024-01-11,-0.004635917863304483
2024-01-12,0.0033752579326332497
2024-01-15,0.004634661323574203
2024-01-16,0.006981292658604069
2024-01-17,-0.01287581711376366
2024-01-18,0.0005783811081571483
2024-01-19,-0.00367354245747934
2024-01-22,-0.015342308703821882
2024-01-23,0.004059456584224733
2024-01-24,0.02831970411211924
2024-01-25,0.028385687563461836
2024-01-26,0.010289080149247107
2024-01-29,0.0023158229031560503
2024-01-30,-0.010981556322703184
2024-01-31,-0.0011992148427122527
2024-02-01,-0.003423688118310771
2024-02-02,-0.0008121171568223523
2024-02-05,0.004847790658978423
2024-02-06,0.03493969234613221
2024-02-07,0.008571438184604374
2024-02-08,0.0061010112985318676
2024-02-19,0.010787392516368201
2024-02-20,0.004272691028837124
2024-02-21,0.009387141114140725
2024-02-22,0.014644713554498413
2024-02-23,0.0021023350477881357
2024-02-26,-0.017758020992866767
2024-02-27,0.003767467323152492
2024-02-28,-0.004500801367971005
2024-02-29,0.012280283656544204
2024-03-01,0.0002685068215735444
2024-03-04,0.002299429323689887
2024-03-05,0.0159922526319426
2024-03-06,-0.004344890412475881
2024-03-07,0.003417402717739452
2024-03-08,0.0014945008778319794
2024-03-11,-0.0017447073026862733
2024-03-12,-0.01265755320321793
2024-03-13,-0.004411485940169772
2024-03-14,-0.0003359973382802213
2024-03-15,0.003934359253811337
2024-03-18,0.004413766167782208
2024-03-19,-0.008021238528014965
2024-03-20,0.005625734182054384
2024-03-21,0.0015674556912283733
2024-03-22,-0.005854655878344609
2024-03-25,-0.0008275407482820887
2024-03-26,0.006761949207567297
2024-03-27,-0.0028668651429025974
2024-03-28,-0.0055854835032677075
2024-03-29,0.008751487263856286
2024-04-01,0.007367617668627247
2024-04-02,0.0038224761615305524
2024-04-03,-0.0007373102377833023
2024-04-08,0.0020209326488195875
2024-04-09,-0.004351023503796728
2024-04-10,0.0006354427672847033
2024-04-11,-0.001046066664276531
2024-04-12,-0.009047312849039488
2024-04-15,0.02357973936491508
2024-04-16,-0.0011107345363864263
2024-04-17,0.014253986469068934
2024-04-18,0.0007437557551862595
2024-04-19,0.0024043636570005855
2024-04-22,-0.005573528715607012
2024-04-23,-0.0034883993112938363
2024-04-24,-0.0007929438890034058
2024-04-25,0.009380781722732559
2024-04-26,-0.006431577653691489
2024-04-29,-0.001363308314818065
2024-04-30,0.004966342152207067
2024-05-06,0.0055315946896993705
2024-05-07,-0.0020713135933056494
2024-05-08,0.0017336116770169739
2024-05-09,0.003826995696248511
2024-05-10,0.004432008167694334
2024-05-13,0.004186822053482923
2024-05-14,-0.0038447655869578807
2024-05-15,-0.0035020736755335346
2024-05-16,0.0033559710064773878
2024-05-17,0.008297819122048043
2024-05-20,0.004945781043505956
2024-05-21,0.0024327565276219747
2024-05-22,0.002443515341706367
2024-05-23,-0.005860583456244579
2024-05-24,-0.0017848489710294959
2024-05-27,0.011622786030947874
2024-05-28,-3.104886615708702e-05
2024-05-29,-0.0039026992127479503
2024-05-30,-0.005340889884520939
2024-05-31,-0.0016932682949788369
2024-06-03,-2.3676170736952173e-05
2024-06-04,0.004297722485723188
2024-06-05,-0.0035113382863887987
2024-06-06,-8.299944400738863e-05
2024-06-07,0.008003794023503968
2024-06-11,-0.014011412786730272
2024-06-12,0.0008468236674450773
2024-06-13,-0.002900439729023352
2024-06-14,-0.0018074927916606359
2024-06-17,-0.010008143028070824
2024-06-18,0.004472410881064663
2024-06-19,0.0030251735314643048
2024-06-20,-0.0014553418971382812
2024-06-21,-0.002681840261929839
2024-06-24,-0.0052980704568594385
2024-06-25,0.001076693885382851
2024-06-26,0.006797446462093022
2024-06-27,-0.0010307876265043554
2024-06-28,0.003796430095831675
2024-07-01,0.007667546332175942
2024-07-02,0.0016239390214275043
2024-07-03,-0.0029904040287492047
2024-07-04,-0.007131890967393417
2024-07-05,-0.007454323018900873
2024-07-08,-0.00397783037656062
2024-07-09,0.011062456607261217
2024-07-10,-0.0016174820679923487
2024-07-11,0.0039008141660391788
2024-07-12,0.005762239067553872
2024-07-15,0.006994118919299896
2024-07-16,0.0034269366088835046
2024-07-17,0.005033002715780686
2024-07-18,0.0072052574454576765
2024-07-19,0.0021833476559165858
2024-07-22,-0.0040927739525529125
2024-07-23,-0.0025094557107077607
2024-07-24,-0.0002482677177720479
2024-07-25,-0.0016533182595352227
2024-07-26,-0.007113816759473976
2024-07-29,0.005087825396436945
2024-07-30,-0.004050930470453077
2024-07-31,0.012844223154756126
2024-08-01,0.0009301837560918109
2024-08-02,-0.009303640929923758
2024-08-05,-0.012494977594910901
2024-08-06,-0.002083318658824037
2024-08-07,0.005466203905968425
2024-08-08,-0.00026190876255827546
2024-08-09,-0.0011791428312543616
2024-08-12,-0.00294612612033995
2024-08-13,0.00355106640199588
2024-08-14,-0.0035371414411077195
2024-08-15,0.010291735203175549
2024-08-16,-0.000495266179858759
2024-08-19,0.008348380869751659
2024-08-20,-0.0067883813852400434
2024-08-21,-0.004928356967544286
2024-08-22,-0.0018748103687800408
2024-08-23,0.004410470257717014
2024-08-26,0.001895323870115828
2024-08-27,-0.0038569521217636234
2024-08-28,-0.002383663384040639
2024-08-29,-0.01099787362255463
2024-08-30,0.0010446863515409098
2024-09-02,-0.009512414421507765
2024-09-03,-0.0016770194210491383
2024-09-04,-0.005151740554964882
2024-09-05,0.0005958706597602894
2024-09-06,-0.0018210770772494925
